 Water ==> hydropump #SUP: 43 #CONF: 0.9772727272727273
 Grass ==> bulletseed #SUP: 38 #CONF: 0.9047619047619048
 grassyterrain ==> Grass #SUP: 38 #CONF: 0.926829268292683
 Grass ==> grassyterrain #SUP: 38 #CONF: 0.9047619047619048
 leafstorm ==> Grass #SUP: 41 #CONF: 0.9761904761904762
 Grass ==> leafstorm #SUP: 41 #CONF: 0.9761904761904762
 Grass ==> magicalleaf #SUP: 38 #CONF: 0.9047619047619048
 Flying ==> tailwind #SUP: 42 #CONF: 0.9130434782608695
 Psychic ==> psyshock #SUP: 37 #CONF: 0.925
 aircutter ==> airslash #SUP: 50 #CONF: 0.9803921568627451
 aircutter ==> tailwind #SUP: 47 #CONF: 0.9215686274509803
 roost ==> airslash #SUP: 39 #CONF: 0.9069767441860465
 leafstorm ==> bulletseed #SUP: 38 #CONF: 0.9047619047619048
 charge ==> electricterrain #SUP: 34 #CONF: 1.0
 electricterrain ==> chargebeam #SUP: 35 #CONF: 0.9210526315789473
 dualwingbeat ==> tailwind #SUP: 44 #CONF: 0.9166666666666666
 voltswitch ==> electricterrain #SUP: 34 #CONF: 0.9444444444444444
 fireblast ==> flamethrower #SUP: 55 #CONF: 1.0
 fly ==> tailwind #SUP: 38 #CONF: 0.9047619047619048
 leafstorm ==> grassyterrain #SUP: 39 #CONF: 0.9285714285714286
 grassyterrain ==> leafstorm #SUP: 39 #CONF: 0.9512195121951219
 grassyterrain ==> magicalleaf #SUP: 37 #CONF: 0.9024390243902439
 scald ==> hydropump #SUP: 38 #CONF: 0.9047619047619048
 waterfall ==> hydropump #SUP: 41 #CONF: 0.9761904761904762
 watergun ==> hydropump #SUP: 46 #CONF: 0.9019607843137255
 leafstorm ==> magicalleaf #SUP: 38 #CONF: 0.9047619047619048
 waterfall ==> liquidation #SUP: 38 #CONF: 0.9047619047619048
 roost ==> tailwind #SUP: 41 #CONF: 0.9534883720930233
 Water liquidation ==> hydropump #SUP: 37 #CONF: 0.9736842105263158
 Water waterfall ==> hydropump #SUP: 34 #CONF: 0.9714285714285714
 Water watergun ==> hydropump #SUP: 39 #CONF: 1.0
 Water hydropump ==> watergun #SUP: 39 #CONF: 0.9069767441860465
 bulletseed grassyterrain ==> Grass #SUP: 35 #CONF: 0.9722222222222222
 Grass grassyterrain ==> bulletseed #SUP: 35 #CONF: 0.9210526315789473
 Grass bulletseed ==> grassyterrain #SUP: 35 #CONF: 0.9210526315789473
 bulletseed leafstorm ==> Grass #SUP: 37 #CONF: 0.9736842105263158
 Grass leafstorm ==> bulletseed #SUP: 37 #CONF: 0.9024390243902439
 Grass bulletseed ==> leafstorm #SUP: 37 #CONF: 0.9736842105263158
 bulletseed magicalleaf ==> Grass #SUP: 35 #CONF: 0.9722222222222222
 Grass magicalleaf ==> bulletseed #SUP: 35 #CONF: 0.9210526315789473
 Grass bulletseed ==> magicalleaf #SUP: 35 #CONF: 0.9210526315789473
 grassyterrain leafstorm ==> Grass #SUP: 38 #CONF: 0.9743589743589743
 Grass leafstorm ==> grassyterrain #SUP: 38 #CONF: 0.926829268292683
 Grass grassyterrain ==> leafstorm #SUP: 38 #CONF: 1.0
 leafstorm ==> Grass grassyterrain #SUP: 38 #CONF: 0.9047619047619048
 grassyterrain ==> Grass leafstorm #SUP: 38 #CONF: 0.926829268292683
 Grass ==> grassyterrain leafstorm #SUP: 38 #CONF: 0.9047619047619048
 grassyterrain magicalleaf ==> Grass #SUP: 35 #CONF: 0.9459459459459459
 Grass magicalleaf ==> grassyterrain #SUP: 35 #CONF: 0.9210526315789473
 Grass grassyterrain ==> magicalleaf #SUP: 35 #CONF: 0.9210526315789473
 leafstorm magicalleaf ==> Grass #SUP: 37 #CONF: 0.9736842105263158
 Grass magicalleaf ==> leafstorm #SUP: 37 #CONF: 0.9736842105263158
 Grass leafstorm ==> magicalleaf #SUP: 37 #CONF: 0.9024390243902439
 Flying airslash ==> aircutter #SUP: 35 #CONF: 0.9459459459459459
 Flying aircutter ==> airslash #SUP: 35 #CONF: 0.9722222222222222
 Flying aircutter ==> tailwind #SUP: 36 #CONF: 1.0
 Flying airslash ==> tailwind #SUP: 36 #CONF: 0.972972972972973
 Flying dualwingbeat ==> tailwind #SUP: 34 #CONF: 1.0
 fly tailwind ==> Flying #SUP: 35 #CONF: 0.9210526315789473
 Flying fly ==> tailwind #SUP: 35 #CONF: 0.9459459459459459
 Flying hurricane ==> tailwind #SUP: 34 #CONF: 0.9714285714285714
